0 tensor(18.3128, device='cuda:0')
1 tensor(32.6840, device='cuda:0')
2 tensor(49.4629, device='cuda:0')
3 tensor(58.8181, device='cuda:0')
4 tensor(65.2930, device='cuda:0')
5 tensor(69.6019, device='cuda:0')
6 tensor(73.0813, device='cuda:0')
7 tensor(75.7958, device='cuda:0')
8 tensor(78.0431, device='cuda:0')
9 tensor(79.6186, device='cuda:0')
10 tensor(81.3472, device='cuda:0')
11 tensor(82.3015, device='cuda:0')
12 tensor(83.5574, device='cuda:0')
13 tensor(84.2970, device='cuda:0')
14 tensor(85.1968, device='cuda:0')
15 tensor(85.8930, device='cuda:0')
16 tensor(86.3571, device='cuda:0')
17 tensor(87.0044, device='cuda:0')
18 tensor(87.4101, device='cuda:0')
19 tensor(88.0053, device='cuda:0')
20 tensor(88.3036, device='cuda:0')
21 tensor(88.6833, device='cuda:0')
22 tensor(88.9762, device='cuda:0')
23 tensor(89.3645, device='cuda:0')
24 tensor(89.6810, device='cuda:0')
25 tensor(89.9431, device='cuda:0')
26 tensor(90.1278, device='cuda:0')
27 tensor(90.2470, device='cuda:0')
28 tensor(90.4467, device='cuda:0')
29 tensor(90.7727, device='cuda:0')
30 tensor(93.2993, device='cuda:0')
31 tensor(94.1787, device='cuda:0')
32 tensor(94.4178, device='cuda:0')
33 tensor(94.7122, device='cuda:0')
34 tensor(94.8188, device='cuda:0')
35 tensor(94.9483, device='cuda:0')
36 tensor(94.9877, device='cuda:0')
37 tensor(95.2261, device='cuda:0')
38 tensor(95.2174, device='cuda:0')
39 tensor(95.4092, device='cuda:0')
40 tensor(95.4329, device='cuda:0')
41 tensor(95.5016, device='cuda:0')
42 tensor(95.6768, device='cuda:0')
43 tensor(95.6326, device='cuda:0')
44 tensor(95.7376, device='cuda:0')
45 tensor(95.7913, device='cuda:0')
46 tensor(95.9105, device='cuda:0')
47 tensor(95.9665, device='cuda:0')
48 tensor(96.0202, device='cuda:0')
49 tensor(96.0099, device='cuda:0')
50 tensor(96.1757, device='cuda:0')
51 tensor(96.2365, device='cuda:0')
52 tensor(96.1891, device='cuda:0')
53 tensor(96.1812, device='cuda:0')
54 tensor(96.3730, device='cuda:0')
55 tensor(96.2783, device='cuda:0')
56 tensor(96.4227, device='cuda:0')
57 tensor(96.4709, device='cuda:0')
58 tensor(96.4598, device='cuda:0')
59 tensor(96.4977, device='cuda:0')
60 tensor(96.7661, device='cuda:0')
61 tensor(96.9161, device='cuda:0')
62 tensor(96.9413, device='cuda:0')
63 tensor(96.9421, device='cuda:0')
64 tensor(96.9642, device='cuda:0')
65 tensor(97.0439, device='cuda:0')
66 tensor(97.0140, device='cuda:0')
67 tensor(96.9950, device='cuda:0')
68 tensor(97.0629, device='cuda:0')
69 tensor(97.0976, device='cuda:0')
70 tensor(97.0266, device='cuda:0')
71 tensor(97.1031, device='cuda:0')
72 tensor(97.0653, device='cuda:0')
73 tensor(97.1702, device='cuda:0')
74 tensor(97.1126, device='cuda:0')
75 tensor(97.1347, device='cuda:0')
76 tensor(97.2287, device='cuda:0')
77 tensor(97.1805, device='cuda:0')
78 tensor(97.1608, device='cuda:0')
79 tensor(97.1655, device='cuda:0')
80 tensor(97.1734, device='cuda:0')
81 tensor(97.2152, device='cuda:0')
82 tensor(97.2184, device='cuda:0')
83 tensor(97.2792, device='cuda:0')
84 tensor(97.2665, device='cuda:0')
85 tensor(97.1923, device='cuda:0')
86 tensor(97.2389, device='cuda:0')
87 tensor(97.2776, device='cuda:0')
88 tensor(97.2405, device='cuda:0')
89 tensor(97.3297, device='cuda:0')
90 tensor(97.2468, device='cuda:0')
91 tensor(97.3021, device='cuda:0')
92 tensor(97.2058, device='cuda:0')
93 tensor(97.3194, device='cuda:0')
94 tensor(97.2444, device='cuda:0')
95 tensor(97.2863, device='cuda:0')
96 tensor(97.2563, device='cuda:0')
97 tensor(97.2618, device='cuda:0')
98 tensor(97.2610, device='cuda:0')
99 tensor(97.3107, device='cuda:0')
100 tensor(97.3392, device='cuda:0')
101 tensor(97.3028, device='cuda:0')
102 tensor(97.3478, device='cuda:0')
103 tensor(97.3407, device='cuda:0')
104 tensor(97.2626, device='cuda:0')
105 tensor(97.3644, device='cuda:0')
106 tensor(97.2073, device='cuda:0')
107 tensor(97.3068, device='cuda:0')
108 tensor(97.2721, device='cuda:0')
109 tensor(97.3739, device='cuda:0')
110 tensor(97.3068, device='cuda:0')
111 tensor(97.2705, device='cuda:0')
112 tensor(97.3399, device='cuda:0')
113 tensor(97.2713, device='cuda:0')
114 tensor(97.3684, device='cuda:0')
115 tensor(97.3305, device='cuda:0')
116 tensor(97.3944, device='cuda:0')
117 tensor(97.3155, device='cuda:0')
118 tensor(97.3960, device='cuda:0')
119 tensor(97.2105, device='cuda:0')
